书名,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"同聲同氣","3","2024/09/28","视角很好，有些故事蛮有意思，但这个论文真的是完整的吗？","2024/4","鄧芝珊","https://book.douban.com/subject/36846225/"
"达·芬奇密码","4","2024/09/27","","2004/2","[美] 丹·布朗","https://book.douban.com/subject/1040771/"
"曹雪芹的家族印記","","2024/09/24","大致看完了第一章","2022/5/9","黃一農","https://book.douban.com/subject/35897525/"
"红楼梦魇","","2024/09/24","大致读完，感觉只有反复读过各个版本红楼梦的人才能流畅阅读并会意。张爱玲的考据不仅也严谨广博，且不少地方都用创作者的思维评判，感觉比其他一些无聊的考据要有趣一些，不过感觉好零碎。","2019/8","张爱玲","https://book.douban.com/subject/33379245/"
"倾城之恋","5","2024/09/23","","2019/3","张爱玲","https://book.douban.com/subject/30294357/"
"隐谷路","5","2024/09/12","既是精神分裂症家族几十年内的家族史，也是漫长的伴随社会科技不断变化的精神分裂症治疗与研究史：从弗洛伊德的精神分析到五六十年代缺乏证据地责怪母亲导致精神疾病，再到《飞越疯人院》中成为一种权力与规训隐喻的精神病和对疾病本身的忽视，直到近几十年通过家族基因分析获得相对有突破的结果，但是“治疗一直都和疾病本身一样摧残健康”。
行文细致流畅，致谢表里密密麻麻的没有直接在正文中出现的被采访者令人感慨作者的严谨，读罢我只有震撼和感慨。顺带一提，总觉得好像国外很多作品中宗教总是与精神异常和性侵有关，还经常成为恐怖题材，感觉也是很有趣的议题🤔（虽然我对此基本毫无了解）。","2021/10","[美]罗伯特·科尔克","https://book.douban.com/subject/35599712/"
"南京大屠杀","5","2024/09/12","不忍看。记得高中自习课上读被老师没收，结果语文老师在讲台上也很认真地读起来了，之后还和我讨论了内容。","2015/8","[美]张纯如（Iris Chang）","https://book.douban.com/subject/26545308/"
"我的人生中经历过四次火灾","5","2024/09/11","","2024/3","异教陶瓷","https://book.douban.com/subject/36882781/"
"审判","5","2024/09/11","补标","2018/6","[奥地利]卡夫卡","https://book.douban.com/subject/30415637/"
"外婆的道歉信","","2024/09/11","补标","2017/5","[瑞典] 弗雷德里克·巴克曼","https://book.douban.com/subject/27029890/"
"夏日终曲","4","2024/09/11","补标，时间久远，现在已经记不清读完心情。“如果你什么都记得”。","2018/3","[美] 安德烈·艾席蒙","https://book.douban.com/subject/28659562/"
"守望之心","4","2024/09/11","童话的破灭。读于2021年2月","2017/2","[美] 哈珀·李","https://book.douban.com/subject/26909081/"
"我是个年轻人，我心情不太好","3","2024/09/11","补标，高中读的，很一般……","2019/9","[挪威] 阿澜·卢","https://book.douban.com/subject/34429342/"
"奥斯卡与玫瑰奶奶","","2024/09/11","补标，2021年1月读完，印象不深","2018/8","[法]埃里克-埃马纽埃尔·施米特","https://book.douban.com/subject/30244058/"
"德米安","4","2024/09/11","补标，2020/07/24读完，感觉对黑塞不是很感兴趣。","2014/7/1","[德]赫尔曼·黑塞","https://book.douban.com/subject/25902450/"
"河童","4","2024/09/11","2021年5月读完，蛮有意思的短篇集","2014/9","[日] 芥川龙之介","https://book.douban.com/subject/25923427/"
"海上花列传","","2024/09/11","现当代讨论课必读，当时和朋友们一起咬牙切齿地狠狠读完！","2016/1","韩邦庆","https://book.douban.com/subject/30258463/"
"死于黎明：洛尔迦诗选","","2024/09/11","读于2021年11月","2016/8","[西] 费德里科•加西亚•洛尔迦 （Federico García Lorca ）","https://book.douban.com/subject/26835830/"
"情人","5","2024/09/11","高中时反复读过","2009/8/1","（法）杜拉斯","https://book.douban.com/subject/3908240/"
"香水","4","2024/09/11","读于高中","2009/6","[德] 帕·聚斯金德","https://book.douban.com/subject/3815125/"
"面纱","3","2024/09/11","高中时借ssj的书读的，现在回想一下比较无感，不确定当时怎么想。","2016/7","[英]毛姆","https://book.douban.com/subject/26948879/"
"诗经译注","5","2024/09/11","","2016/5/1","程俊英","https://book.douban.com/subject/26851993/"
"马男波杰克：幕后艺术集","","2024/09/11","","2019/6","[美]克里斯•麦克唐纳","https://book.douban.com/subject/33458530/"
"顾城的诗","","2024/09/11","","2010/11/1","顾城","https://book.douban.com/subject/19967515/"
"斯普特尼克恋人","","2024/09/11","高中时借书，趁午休时间读完的。内容没什么想谈的但大学之后闲得没事买了一件优衣库联名UT，现在还在穿哈哈","2018/6","[日] 村上春树","https://book.douban.com/subject/3168468/"
"凛冬将至","3","2024/09/11","读于高考前夜（不想复习了因此挑灯夜读小说），因此印象略微深刻，不过整体来说无感。","2018/6/1","[澳]汉娜·肯特","https://book.douban.com/subject/30186020/"
"王小波真正大全集(套装共15册)","5","2024/09/11","高中反反复复反反复复读过","","王小波","https://book.douban.com/subject/31586478/"
