电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"茶杯头大冒险 第一季 / The Cuphead Show! Season 1","3","2022/12/31","retro风格动画片，处处充斥经典影子但各方面都比不了当年那些。有点像是游戏宣传片，但是游戏玩家表示原作的画面音效都比动画好很多，而且回合制过关的玩法才真正实现了复古的体验… @2022-09-04 19:21:56","2022/02/18","美国","https://movie.douban.com/subject/34461021/"
"哈利·波特20周年：回到霍格沃茨 / Harry Potter 20th Anniversary...","3","2022/12/31","其实没有什么新的，而且有点过于煽情，但是看见他们重聚还是会感动。最后一幕再次泪目。 @2022-08-16 23:03:06","2022/01/01","美国网络","https://movie.douban.com/subject/35663020/"
"驯龙高手3 / How to Train Your Dragon: The Hidden World","4","2022/12/31","比2好点 @2022-08-09 19:38:08","2019/01/03","澳大利亚","https://movie.douban.com/subject/19899707/"
"驯龙高手2 / How to Train Your Dragon 2","2","2022/12/31","太多不合逻辑。需要卖萌吸引观众，于是龙被驯服变成宠物——仅就此设定而言我甚至更喜欢R&M里的slut dragon @2022-08-09 12:24:46","2014/05/16","戛纳电影节","https://movie.douban.com/subject/4824512/"
"脆莓公园 第一季 / Brickleberry Season 1","3","2022/12/31","刚吃完的午饭都吐出来了，谢谢你脆莓公园 @2022-08-04 12:47:05","","","https://movie.douban.com/subject/6874283/"
"疯狂的赛车","4","2022/12/31","环环相扣，惊喜好片 @2022-07-06 23:41:43","2009/01/20","中国大陆","https://movie.douban.com/subject/2124703/"
"环太平洋 / Pacific Rim","","2022/12/31","补标，猛然想起来自己看过系列 @2022-06-17 12:56:23","2013/07/12","美国","https://movie.douban.com/subject/5323968/"
"厨子戏子痞子","","2022/12/31","补标，现在都还记得结尾的朴树版《送别》。 @2022-06-14 13:34:08","2013/03/29","中国大陆","https://movie.douban.com/subject/6011806/"
"从你的全世界路过","2","2022/12/31","很差。不过2017年我也去了稻城亚丁，还是很美的，远远可以望见央迈勇雪山。 @2022-06-13 16:30:41","2016/09/29","中国大陆","https://movie.douban.com/subject/26280528/"
"煎饼侠","1","2022/12/31","呃，补标 @2022-06-13 16:20:40","2015/07/17","中国大陆","https://movie.douban.com/subject/25895276/"
"暗芝居 第一季 / 闇芝居 第1期","4","2022/12/31","童年阴影系列 @2022-06-19 01:01:21","2013/07/14","日本","https://movie.douban.com/subject/24845107/"
"2001太空漫游 / 2001: A Space Odyssey","5","2022/12/31","我：绝望的文盲(2 有用)","1968/04/02","华盛顿首映","https://movie.douban.com/subject/1292226/"
"特写 / کلوزآپ","5","2022/12/30","虚构与真实","1990/02/01","伊朗曙光旬电影节","https://movie.douban.com/subject/1303521/"
"火山挚恋 / Fire of Love","5","2022/12/30","大地燃烧、融化、流动，他们穷极一生，记录地球的心跳与血流。“A fool is someone who has lost everything but his reason.”我面对屏幕，在最伟大、磅礴、美丽而危险的自然景观与最好的爱情面前失语。 @2022-11-23 20:05:13","2022/01/20","圣丹斯电影节","https://movie.douban.com/subject/35694766/"
