游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"TELEFORUM","3","2025/03/13","很有itch味儿的诡异恐怖风格+录像片段拼接叙事小游戏，但也没太多特点。","2023-10-20","https://www.douban.com/game/36612349/"
"朋友聚会 新生活 トモダチコレクション 新生活","5","2025/02/17","每日欢乐源泉，太抽象太好玩了！！！很喜欢利用3ds各种功能打破第四面墙的设计，唯一比较大的缺点是性取向太单一，好可惜在后续机型暂时无续作。更新：发现解决烦恼bug无需导出存档，只要快速退出新闻即可解决！","2013-04-18","https://www.douban.com/game/25910139/"
"马力欧卡丁车7 マリオカート7","4","2025/02/11","","2011-12-01","https://www.douban.com/game/10767870/"
"立体绘图方块2 カタチ新発見!立体ピクロス2","5","2025/02/07","大赞，玩起来很解压","2015-10-01","https://www.douban.com/game/26636175/"
"超级马力欧 3D乐园 スーパーマリオ 3Dランド","5","2025/02/07","之前不常玩平台跳跃游戏，但是这个真的好玩啊！！！","2011-11-03","https://www.douban.com/game/10736732/"
"倒影与告解室 Deathless Death","2","2025/01/27","虽然游戏假借了宗教中的告解与审判的形式来讨论亲密关系，但仅仅停留在了坦诚地剖析和言语层面上的悔过，讨论罪但不讨论具体的救赎和自由——神父关注的是个体的心理还是要寻找可归因的罪名？救赎就只是欲望的不存在吗？处罚又是什么？——本质和宗教没什么关系。这种情况下“教堂”和“神父”的设置也几乎都是幻想性的、没有太大实际意义的。而游戏尽管给审判设置了不同的结局，但没有什么真正的影响，也和最终剧情相当大程度上并无关联——在几秒钟决定的一个个处罚或救赎中，玩家本质是在决定或者表达什么？为什么自认为自己有权力做这种选择？我不知道。最后，关于爱与婚姻的讨论结果是什么？我也不知道。我只觉得这种形式的所谓告解越是真诚就越是虚伪。","2024-11-14","https://www.douban.com/game/36866591/"
"撞球咖啡馆 Shufflepuck Café","4","2025/01/17","","1989-06-07","https://www.douban.com/game/37188549/"
"黄金像凶杀案 The Case Of The Golden Idol","5","2025/01/13","2024年玩到的最喜欢的游戏之一","2022-10-13","https://www.douban.com/game/36136277/"
"公共电话 公衆電話","","2025/01/09","","2018-08-27","https://www.douban.com/game/37055748/"
"1943：中途岛海战 1943 ミッドウェイ海戦","","2025/01/07","","1988-06-20","https://www.douban.com/game/24299609/"
