游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"拳皇97 The King of Fighters '97","","2023/12/30","","1997-07-28","https://www.douban.com/game/24705090/"
"俄罗斯方块 Tetris","","2023/12/30","","1984-06-06","https://www.douban.com/game/10736681/"
"Pong","","2023/11/24","","1972-11-29","https://www.douban.com/game/25724928/"
"程序员升职记 Human Resource Machine","4","2023/11/15","挺有意思的游戏，一点点优化真的很折磨也很有成就感！","2015-10-16","https://www.douban.com/game/26643838/"
"米拉奇战记 米拉奇战记 Miragine War","","2023/11/03","童年回忆","2010-11-05","https://www.douban.com/game/35849758/"
"森林冰火人 Fireboy and Watergirl","","2023/11/03","","2009-06-03","https://www.douban.com/game/26599570/"
"保卫萝卜","4","2023/11/03","","2012-08-07","https://www.douban.com/game/14329555/"
"双点医院 Two Point Hospital","4","2023/11/03","“请患者不要死在走廊上。”","2018-08-30","https://www.douban.com/game/27677892/"
"死亡地平线 Dead Horizon","","2023/11/03","","2017-08-12","https://www.douban.com/game/30260222/"
"暗箱 blackbox","4","2023/11/03","很有创意的iPhone/iPad使用指南。","2016-03-14","https://www.douban.com/game/26759687/"
"毛线小精灵2 Unravel Two","4","2023/10/29","挺好的双人游戏，很喜欢可以合体的设计","2018-06-09","https://www.douban.com/game/30244637/"
"展翅翱翔 Wingspan","5","2023/10/29","音乐/美工/玩法都很不错，值得一提的是汉化非常好。不过总觉得桌游还是更适合和朋友聚在一起当面玩，因为可以用聊天充实等待的间隙。","2019-01-01","https://www.douban.com/game/32442916/"
"黄泉之路 Trek to Yomi","3","2023/10/25","场景做得真的很不错，可惜手感太烂了，完全没办法接着玩下去的地步。","2022-05-05","https://www.douban.com/game/35494392/"
"灵魂旅者 Spiritfarer","4","2023/10/25","超级大杂烩：牧场经营+航海解锁地图+轻微类音游（我没怎么玩过不了家怎么形容这种）的收集加工机制+平台跳跃的宝箱探索+灵魂摆渡人的叙事方式。出乎意料地糅合得还不错，但后期有点疲乏。不知道为什么玩之前我一直以为这是一个像素游戏……","2020-08-18","https://www.douban.com/game/34430160/"
"领主与村民 Lords and Villeins","3","2023/10/16","","2022-11-11","https://www.douban.com/game/35196665/"
"木筏 RAFT","4","2023/10/16","挺不错的海上捡垃圾建造生存模拟器，夕阳很美","2022-06-21","https://www.douban.com/game/26949738/"
"孤星寂海 In Other Waters","4","2023/10/06","小而美","2020-04-03","https://www.douban.com/game/30143399/"
"黑客网络 Hacknet","4","2023/10/06","","2015-08-13","https://www.douban.com/game/26593990/"
"关键奇异鸟 KeyWe","4","2023/09/09","中规中矩的双人合作游戏，关卡重复度略高，kiwi鸟很可爱！","2021-08-31","https://www.douban.com/game/35367445/"
"巴巴是你 Baba Is You","5","2023/09/03","非常喜欢！","2019-03-13","https://www.douban.com/game/27609956/"
"原神","","2023/09/03","不评价","2020-09-28","https://www.douban.com/game/34441376/"
"死亡与税赋 Death and Taxes","3","2023/09/01","非常平庸","2020-02-20","https://www.douban.com/game/34969889/"
"拳皇13 The King of Fighters XIII","","2023/09/01","经典","2010-07-14","https://www.douban.com/game/19976353/"
"TEST TEST TEST","3","2023/08/28","还可以的解谜小游戏，顺便把玩的时候的截图稍微整理了一下在b站发了攻略","2024-01-18","https://www.douban.com/game/36532385/"
"地铁繁花 Underground Blossom","4","2023/08/27","一切元素都是经典锈湖","2023-09-27","https://www.douban.com/game/36377293/"
"说书人 Storyteller","3","2023/07/21","demo很好，试玩同乐会玩罢感觉意犹未尽，内容或许可以更丰富……如果有设计更多种荒诞的可能，或许会更好（不过不确定steam正式版有没有特殊的成就设计）。","2023-03-23","https://www.douban.com/game/30209827/"
"七日别 7 Days to End with You","4","2023/07/21","学习新语言小游戏，果然具象事物的名词更好学习，话语中的动词最难以理解。不过由于体量很小，所以倒不必考虑语序等问题。最后对照攻略摸索出结尾，真是忧伤温情的故事。@试玩同乐会","2022-01-24","https://www.douban.com/game/36139698/"
"没纸了！ 紙がない！","3","2023/07/21","适合如厕时游玩，更能身临其境体会到💩到临头而无纸的刺激与焦虑感（但我没这么做！）…","2023-03-02","https://www.douban.com/game/36292953/"
"超级鸡马 Ultimate Chicken Horse","5","2023/07/19","超搞笑的欢乐坑人合家欢游戏，有时候可以搞出诡异的机械联动！（自作孽不可活🤡）","2016-03-05","https://www.douban.com/game/26855608/"
"集合啦！动物森友会 あつまれ どうぶつの森","5","2023/07/19","美好生活每一天","2020-03-20","https://www.douban.com/game/30325263/"
"塞尔达传说 时光之笛 ゼルダの伝説 時のオカリナ","5","2023/07/02","","1998-11-21","https://www.douban.com/game/10742345/"
"塞尔达传说 旷野之息 - 英杰们的诗篇 ゼルダの伝説 ブレス オブ ザ ワイルド 英傑たちの詩","5","2023/07/02","","2017-12-08","https://www.douban.com/game/27599942/"
"塞尔达传说：众神的三角力量 ゼルダの伝説 神々のトライフォース","4","2023/07/02","NSO模拟器，全日语误打误撞游玩。才知道当时居然是七贤者？！","1991-11-21","https://www.douban.com/game/20394357/"
"奇妙探险队 Curious Expedition","5","2023/06/12","很有趣，像素风大爱，对不起土著人🧎","2016-09-02","https://www.douban.com/game/26411767/"
"酷极轮滑 Rollerdrome","3","2023/06/02","看起来很像Sable+My Friend Pedro，很炫酷但是手感一般。","2022-08-16","https://www.douban.com/game/35920033/"
"胡闹搬家 Moving Out","3","2023/05/13","评价是不如厨房","2020-04-28","https://www.douban.com/game/34942771/"
"朝圣者 Pilgrims","4","2023/05/09","小而美，有些地方特别有趣！","2019-10-06","https://www.douban.com/game/34850108/"
"俄勒冈之旅 The Oregon Trail","5","2023/05/02","“The game is still plentiful along here, but gettin’ harder to find. With so many overlanders, I don’t expect it to last more than a few years. Folks shoot the game for sport, take a small piece, and let the rest rot in the sun.”","1971-12-03","https://www.douban.com/game/25724926/"
"像素鸟 Flappy Bird","","2023/05/02","","2013-05-24","https://www.douban.com/game/25872461/"
"奥利亚 Olija","4","2023/05/02","像素横版过关，快乐爽游。","2021-01-28","https://www.douban.com/game/35162136/"
"蛋仔派对","1","2023/05/01","抄袭小游戏大杂烩，可惜连抄都抄不好。","2022-05-27","https://www.douban.com/game/35914353/"
"猫和老鼠：欢乐互动 Tom And Jerry: The Official Mobile Game","3","2023/05/01","模式和第五人格完全一样，不过各种游戏效果其实还好，可惜网易运营纯圈钱，只能说综合体验烂得一批。","2019-05-31","https://www.douban.com/game/33477239/"
"边境之旅 The Trail","4","2023/04/29","行走捡垃圾游戏，当年眼前一亮。但是很多地方可以更好。","2016-08-30","https://www.douban.com/game/26909059/"
"魔兽世界 World of Warcraft","","2023/04/19","只是去年短暂地玩过，很遗憾","2004-11-23","https://www.douban.com/game/10729919/"
"吃豆人 Pac-Man","","2023/04/19","","1980-05-22","https://www.douban.com/game/19975730/"
"她的故事 Her Story","4","2023/03/26","词汇检索，碎片推理，剧本意料之中的猎奇，出人意料的精彩。","2015-06-24","https://www.douban.com/game/26429413/"
"等等！生活是美好的！ wait！life is beautiful！","2","2023/03/25","莫名感到不适。","2022-01-01","https://www.douban.com/game/35874044/"
"热情废柴联盟 League Of Enthusiastic Losers","2","2023/02/27","有点糟糕的游戏：并没有多么好的叙事性和极差的游戏性，甚至感觉真正玩的时间不如加载时间长。不过挺喜欢这类画风。","2021-10-13","https://www.douban.com/game/36116085/"
"新生 a new life.","","2023/02/27","","2020-05-15","https://www.douban.com/game/35056370/"
"不予播出 Not For Broadcast","4","2023/02/17","一周目和睦党，总觉得切镜头给音效等等背后有点涉及一些审美的东西，没太明白电台的评价指标。莫名非常喜欢中间无厘头的“爱的抱抱”那一段，但正常新闻部分总因为讽刺和幽默过于明显和简单（或者说低级）让我觉得有点离谱。中文配音和字幕虽然略不同步，但心情是有配音就已经很好了……最后想说，即使是人家先进党这种ji权+极端幽默和荒诞的、戏剧化的统治中的新闻自由也比某国好得多，lockdown+生育问题又戳中谁痛点了我不说🤣","2022-01-26","https://www.douban.com/game/34941546/"
"五个约会 Five Dates","2","2023/02/17","你以为是网络情圣模拟器，其实真就只是普通男性video date模拟器而已。路人表示五个女生都完全not my type，只有西班牙女孩和萨芙蓉看起来比较正常，但后者有点太那啥了……选择比较有限，基本就是看俩人雅思面试一样对话，莫名其妙就结局了，这种游戏让人完全没有多周目动力。","2020-11-17","https://www.douban.com/game/35257660/"
"迷失 Stray","4","2023/01/28","第一人称赛博猫猫历险记","2022-07-19","https://www.douban.com/game/35097630/"
"极乐迪斯科 Disco Elysium","5","2023/01/28","","2019-10-15","https://www.douban.com/game/26935092/"
"循环勇士 Loop Hero","4","2023/01/28","蛮好的肉鸽“小”游戏 （算上缓存才200多
MB)，由于玩肉鸽不多所以感觉还挺有新意的，听着音效看主角一圈圈跑有点上瘾，不过后期还是有点没有动力.","2021-03-04","https://www.douban.com/game/35353313/"
"彼处水如酒  Where the Water Tastes Like Wine","4","2023/01/28","建议英文食用，原文极美，翻译不佳。美术音乐绝佳，各地美国民谣部分缓解了长时间步行的痛苦。虽然是复古风格游戏，但制作者加入了不少Queer故事，还有凯鲁亚克彩蛋，十分值得一玩。","2018-02-28","https://www.douban.com/game/26727487/"
"摄影冒险 TOEM: A Photo Adventure","4","2023/01/22","非常好的摄影解谜游戏，没想到的是玩了之后居然开始头晕…","2021-09-17","https://www.douban.com/game/35503030/"
"未连接到互联网 Unable to Connect to the Internet","4","2023/01/19","","2014-11-01","https://www.douban.com/game/26589438/"
"狂野飆車：競速傳奇 Asphalt Legends","3","2023/01/19","场景特效整挺好，上手极易，免费但氪金（而我永远是零氪玩家）","2018-02-06","https://www.douban.com/game/30294564/"
"卡德 KARDS - The WWII Card Game","4","2023/01/19","被inscryption引发对卡牌游戏兴趣后随便找了玩的，结果出乎意料地还不错，不同卡组搭配挺有意思的。记得有一次更新还专门把日本的标志更换了……","2019-04-12","https://www.douban.com/game/34957872/"
"斯普拉遁3 スプラトゥーン3","5","2023/01/19","太惊艳！！！不过匹配时间实在太久了，而且连接有点容易出问题。总之强烈安利🥰喷起来就发狠了忘情了不要命了！","2022-09-09","https://www.douban.com/game/35364057/"
"劍入禪境 Sword Zen","4","2023/01/18","干净、漂亮。少即是多。","2021-02-01","https://www.douban.com/game/35356593/"
"模拟山羊 Goat Simulator","","2023/01/17","","2014-04-01","https://www.douban.com/game/25857933/"
"酿造物语 Hundred Days-Winemaking Simulator","3","2023/01/16","bug有点多，引导一般，故事部分有点平庸。不过学到不少葡萄酒小知识，画风也说得过去，很轻松的经营小游戏。","2021-05-13","https://www.douban.com/game/35002273/"
"请触摸艺术 Please, Touch The Artwork","4","2023/01/16","玩这款游戏时，可以思考很多事情，不仅仅是色彩与蒙德里安。出乎意料的好。","2022-01-26","https://www.douban.com/game/35753635/"
"远方：孤帆远行 FAR: Lone Sails","4","2023/01/15","小而美","2018-05-17","https://www.douban.com/game/30220135/"
"BOBA","4","2023/01/10","Daneil Mullins的Game jam新作，一如既往的诡异而惊艳，十分钟一杯美味珍珠奶茶。","2023-01-08","https://www.douban.com/game/36210297/"
"猫咪咖啡店的寻常一天 an average day at the cat cafe","3","2023/01/10","咖啡店模拟器，美术和音效都很不错，延续了《missed messages.》以来的可爱温馨画风，上手后甚至感觉很有节奏感。缺点是开局引导有些一般，几天后有点难度（一个人真的可以开24小时咖啡店吗啊啊啊）。","2022-10-20","https://www.douban.com/game/36210303/"
"BLOOP","4","2023/01/10","始于时间线中点的叙事结构很巧妙。Rest in pie…","2020-10-05","https://www.douban.com/game/36210300/"
"1号房 OneRoom","3","2023/01/10","game jam中的game jam，以及背后的诡异秘密。并不是多结局游戏，所以如果想二周目重新尝试的话会发现对话流程略显僵硬，其他都蛮不错的。","2017-04-24","https://www.douban.com/game/36210299/"
"Your FREE BitBuddy™","3","2023/01/10","再见了我的朋友，BitBuddy…👋🏼","2022-04-20","https://www.douban.com/game/36210302/"
"错过的信息 missed messages.","4","2023/01/10","明明记得很久之前已经标记了，不论如何补标一下。","2019-05-20","https://www.douban.com/game/33478782/"
"黎明前20分钟 20 Minutes Till Dawn","3","2023/01/09","去年玩的，画风还蛮不错，但也没有特别出彩之处。感觉这类刷怪肉鸽not my type","2023-06-08","https://www.douban.com/game/35926936/"
"咖啡心语 Coffee Talk","2","2023/01/06","尝试玩了两次但最后还是弃了，实在不喜欢","2020-01-30","https://www.douban.com/game/34463969/"
"甜甜圈郡 Donut County","3","2023/01/05","物品描述和设定都很有意思，🦝本体垃圾爱好者狠狠喜欢。不过体量很小，游戏性一般。","2018-08-28","https://www.douban.com/game/26358126/"
"羊了个羊","1","2023/01/05","","2022-09-13","https://www.douban.com/game/36092695/"
"爱瑞思与巨人 Iris and the Giant","4","2023/01/04","小而美的爬塔卡牌游戏。当面对世界上纷繁而至的恶意，请向他们说“不”。","2020-02-28","https://www.douban.com/game/34980999/"
"发糖模拟器 Fhtagn Simulator","4","2022/12/30","克苏鲁风格献祭，还挺有意思！就是后期卡组感觉略重复 @2022-10-28 13:55:35","2022-10-21","https://www.douban.com/game/36131923/"
"哈迪斯 Hades","5","2022/12/30","一遍又一遍，我从血池中起身。再来一次。 @2022-09-24 14:11:28","2020-09-17","https://www.douban.com/game/30397999/"
"我们曾一起在这里 We Were Here Together","3","2022/12/30","很久之前和一个男同学一块玩的来着，感想就是非常晕…信息不对等部分需要花很长时间描述，共同闯关部分还可以。真的很希望以后双人解谜游戏都能做成分屏… @2022-08-14 23:47:20","2019-10-10","https://www.douban.com/game/35088689/"
"代号：探戈 Operation: Tango","2","2022/12/30","","2021-06-01","https://www.douban.com/game/35155668/"
"壁纸引擎 Wallpaper Engine","5","2022/12/30","可能基本只有中国玩家才会用这个游戏来…连正常的xxxx渠道没有其实也是挺可悲的一事儿。 @2022-08-04 22:37:18","2016-10-10","https://www.douban.com/game/30241370/"
"驻留 STAY","5","2022/12/30","形式相当新颖，在对话中小心翼翼构建信任、了解一个人，生怕自己的离开使游戏人物恐惧。收集的物品没有什么实用价值，却和对话内容一样充满让人会心一笑或沉思的引用与隐喻。每一关结束都有一句制作者的嘲讽口吻的评语，还挺可爱的。
“要记住还是遗忘？想象一个回忆也能变成选择的未来？一开始我以为直面这潭悲伤的沼泽，我就会开始自我痊愈。但我一直沉溺其中，就像阿达克斯…那些记忆仍然产生着强烈的影响，渗透现在，毁掉未来。我只是无法重构它们，继续我的生活，我的内在完全崩坏了…永远不要错过，哪怕是一次，告诉某人你爱她，或者是他的机会。绝对不要” @2022-07-14 22:19:24","2018-05-16","https://www.douban.com/game/30224143/"
"蝇后 Queen of the flies","3","2022/12/30","“小言社区正代替⭕️⭕️扮演⭕️⭕️、⭕️⭕️⭕️与⭕️⭕️⭕️⭕️⭕️的角色。倘若我们将⭕️⭕️比作欧洲封建王国，那么小言公司就是教会。所有人都可以监管⭕️⭕️，但谁来监管教皇？”
结尾很有意思。一次简洁、真诚而不失学术的对于互联网社交平台的反思，期待更多作品。以上。 @2022-07-14 13:34:27","2022-03-31","https://www.douban.com/game/35849261/"
"完美的一天","3","2022/12/30","磨磨唧唧拖拖沓沓。 @2022-07-06 11:13:07","2022-02-25","https://www.douban.com/game/34970585/"
"摄追赤红末世代 Umurangi Generation","3","2022/12/30","概念很好，手感很差，沦落成找物品小游戏。相片评价系统有点一般… @2022-07-06 10:59:41","2020-05-19","https://www.douban.com/game/35074384/"
"生而为同 A Gay's Life","5","2022/12/30","之前忘记标记了。很好的游戏，任重道远。 @2022-07-05 16:57:44","2018-05-04","https://www.douban.com/game/30363877/"
"第九所","3","2022/12/30","献礼游戏，在献礼层面情怀满分，在游戏层面刚及格。是怎么做到又精致又仍然粗制滥造的…… @2022-07-04 15:00:26","2019-12-27","https://www.douban.com/game/34930886/"
"坏小孩","4","2022/12/30","","2021-07-14","https://www.douban.com/game/35526213/"
"泡泡的人 Bubble People","4","2022/12/30","斯金纳箱中的消解与重构。 @2022-06-30 13:27:05","2021-10-13","https://www.douban.com/game/35625058/"
"围城里的演出 Ministry of Broadcast","4","2022/12/30","1984要素超多的跑酷游戏，喜欢乌鸦。 @2022-06-13 18:01:00","2020-01-30","https://www.douban.com/game/34878423/"
"香肠派对","3","2022/12/30","我绝对是古早期玩家……评价就是萌版吃鸡，画风可爱，优化很差。 @2022-06-11 22:40:02","2018-09-01","https://www.douban.com/game/30331562/"
"滑雪大冒险 Ski Safari","3","2022/12/30","一手好牌打稀烂。童年经典。 @2022-06-11 22:38:47","2012-04-26","https://www.douban.com/game/20532729/"
"信任的进化 The Evolution of Trust","","2022/12/30","@2022-06-11 22:05:12","2017-07-01","https://www.douban.com/game/27179397/"
"做个好梦","3","2022/12/30","有点诡异 @2022-06-08 02:09:00","2021-05-24","https://www.douban.com/game/35476614/"
"王者荣耀","2","2022/12/30","对这个游戏的抄袭/氪金/匹配机制/玩家素质等都极度反感。然而仍然可借之消磨时间。 @2022-06-11 22:38:19","2015-12-01","https://www.douban.com/game/26655376/"
"沙贝 Sable","4","2022/12/24","莫比斯风格与女性叙事很令人喜欢，游戏机制则处处受到旷野之息的影响。前期引导有点一般，后期我直接沉迷于买车买衣服与沙海飙车钓鱼！很想一直就这样当滑行者，漫无目的地旅行、攀爬，直到世界边缘。可惜终究还是要回到自己的部族选择面具，幸好选择什么不太重要。","2021-09-23","https://www.douban.com/game/27615461/"
"药剂工艺：炼金模拟器 Potion Craft: Alchemist Simulator","3","2022/12/23","体量很小，设计还可以，后期感觉有点重复。","2021-09-21","https://www.douban.com/game/35352136/"
"十二分钟 Twelve Minutes","3","2022/12/23","设计新颖，游戏体验不佳。","2021-08-19","https://www.douban.com/game/34347214/"
"在我们当中 Among Us","4","2022/12/23","","2018-11-17","https://www.douban.com/game/35182681/"
"鹅作剧 Untitled Goose Game","4","2022/12/23","很爱胡乱搞破坏类游戏🤫","2019-09-20","https://www.douban.com/game/30147239/"
"亲爱的德维尔 Dear Devere","4","2022/12/23","流程很短的视觉小说，非线性叙事亮眼，书信设计很美。","2020-04-12","https://www.douban.com/game/35199314/"
"文字游戏：第零章 Word Game: Episode 0","4","2022/12/23","","2021-01-14","https://www.douban.com/game/35335531/"
"合成大西瓜","","2022/12/23","","2021-01-21","https://www.douban.com/game/35341448/"
"记忆重构 Memories","3","2022/12/23","电影+游戏不是简单做加法。","2019-02-27","https://www.douban.com/game/30473208/"
"荒野乱斗 Brawl Stars","4","2022/12/23","大一的时候常玩，后来换手机号没了就没玩过了…","2017-06-15","https://www.douban.com/game/27069765/"
"牛奶袋里面有一袋牛奶袋里面有一袋牛奶 Milk inside a bag of milk inside a bag of milk","","2022/12/23","好崩溃","2020-08-06","https://www.douban.com/game/35303828/"
"诡野西部 Weird West","3","2022/12/21","没想到一百来块钱的游戏做出来是这种水平……美术风格和各种设定并不差，但游玩体验就只是粗糙、无聊，射击手感等等相当一般。而且背包空间的有限严重影响囤积癖玩家体验。","2022-03-31","https://www.douban.com/game/34915056/"
"怒猿逃生 APE OUT","5","2022/12/21","美术音乐创意玩法都极佳，爵士乐随着紧张刺激的逃生猿人起承转合，与玩家心脏一起跃动。强对比度、利落的线条、专辑关卡形式与极简的左右键操作都是大亮点，可惜操作对我来说太难，目前还没有通关困难模式……","2019-02-28","https://www.douban.com/game/30173608/"
"高山冒险滑雪 Grand Mountain Adventure","4","2022/12/21","相比PC，用iPhone游戏体验会更好，震感和操作都更令人有沉浸感，不过我当时玩的时候iPhone好像国区还没有，美区后面是付费（steam建议通过key入）。整体好评，地图做得相当精致，有一些有趣的隐藏关卡，很多地方都需要反复挑战磨练技术才能通过，音效和音乐也很愉悦，看我在雪中旋转跳跃n*360度！","2019-11-26","https://www.douban.com/game/35069179/"
"旁观者 Beholder","4","2022/12/21","我竟然没标……经典反乌托邦监视经营，不必多说。之前免费送的时候我已经把它安利给所有朋友！","2016-11-01","https://www.douban.com/game/26913268/"
"元气骑士 Soul Knight","5","2022/12/21","国产游戏里算质量相当好的@2022.6.11 十月重新开始玩，通关20次留念！@2022.10.25 @2022-06-11 22:36:35","2017-01-19","https://www.douban.com/game/26988657/"
"方块逃脱：阿尔勒  Cube Escape: Arles","","2022/12/20","","2015-06-05","https://www.douban.com/game/26583967/"
"方块逃脱 ：生日  Cube Escape: Birthday","","2022/12/20","","2016-02-17","https://www.douban.com/game/26729251/"
"方块逃脱：四季 Cube Escape: Seasons","","2022/12/20","","2015-04-27","https://www.douban.com/game/26381584/"
"方块逃脱：哈维的盒子 Cube Escape: Harvey's Box","","2022/12/20","","2015-06-25","https://www.douban.com/game/26600400/"
"方块逃脱：湖 Cube Escape: The Lake","","2022/12/20","","2015-04-25","https://www.douban.com/game/26384664/"
"方块逃脱：23号案件 Cube Escape: Case 23","","2022/12/20","","2015-08-03","https://www.douban.com/game/26594642/"
"方块逃脱：剧院 Cube Escape: Theatre","","2022/12/20","","2016-04-11","https://www.douban.com/game/26770379/"
"方块逃脱：磨坊 Cube Escape: The Mill","","2022/12/20","","2015-09-05","https://www.douban.com/game/26611154/"
"方块逃脱：洞穴  Cube Escape: The Cave","","2022/12/20","","2017-03-23","https://www.douban.com/game/26998019/"
"植物大战僵尸 Plants vs. Zombies","","2022/12/20","","2009-05-06","https://www.douban.com/game/10734138/"
"底特律：化身为人 Detroit: Become Human","","2022/12/20","","2018-05-25","https://www.douban.com/game/26652745/"
"扫雷 Minesweeper","5","2022/12/20","@2022-07-04 15:10:34","1990-10-08","https://www.douban.com/game/10736678/"
"伊迪丝·芬奇的记忆 What Remains of Edith Finch","","2022/12/20","太晕了受不了 玩一小时吐一下午","2017-04-25","https://www.douban.com/game/26411799/"
"神庙逃亡 Temple Run","3","2022/12/20","","2011-08-04","https://www.douban.com/game/10734180/"
"江南百景图","3","2022/12/20","","2020-07-02","https://www.douban.com/game/35050167/"
"鳄鱼小顽皮爱洗澡 Where's My Water","4","2022/12/20","","2011-09-22","https://www.douban.com/game/10734169/"
"第五人格","3","2022/12/20","","2018-04-02","https://www.douban.com/game/27058655/"
"纪念碑谷 Monument Valley","5","2022/12/17","","2014-04-03","https://www.douban.com/game/25865152/"
"茶杯头 Cuphead","4","2022/12/17","太喜欢这种复古动画风格了，就是真的有点难…！","2017-09-29","https://www.douban.com/game/26426595/"
"玛丽的房间 Marie's Room","3","2022/12/16","喜爱化学、研究黑洞与时间旅行、失去了母亲的美国女孩，人设越看越像奇异人生哈哈。整体还可以。","2018-04-13","https://www.douban.com/game/30197182/"
"奥威尔：无知就是力量 Orwell: Ignorance is Strength","4","2022/12/15","Orwell: Ignorance is Strength是Orwell: Keeping an Eye On You的续作，二者不仅游戏方法相似，内容上也有种种联系。如果必须要比较，我还是更喜欢前作（而且前作有中文，读起来还是更快一点！）👾在游戏过程中，很容易就可以代入政府部门打工人角色，入侵、挖掘所有用户隐私。想到上个月被辅导员打电话，逐字逐句念出我在微信发给别人的消息，以及其他种种事件，再玩这部游戏时我只觉得极其恐怖。这种意义上来说，Orwell系列绝不是什么架空世界观游戏，而是一次对所有生活种“系统”掌控的明示。另一个游戏提出的问题是，人应当怎样对抗暴力的系统？以自由为名而伤及无辜，是否又只是另一种“系统”暴力？这是我们要继续思考的……","2018-02-23","https://www.douban.com/game/30155151/"
"辐射：避难所 Fallout Shelter","4","2022/12/08","有一次看到一个小人探险回家后跑到休息室的房间里面独自待了一会儿，“Phew！”一声后一脸愉快地走出来继续工作了。","2015-06-15","https://www.douban.com/game/26425252/"
"饥饿派画家 Passpartout: The Starving Artist","4","2022/05/30","嘎嘎嘎","2017-06-06","https://www.douban.com/game/27076804/"
"侠盗猎车手：圣安地列斯 Grand Theft Auto: San Andreas","5","2022/05/30","","2004-10-26","https://www.douban.com/game/10739855/"
"刺客信条编年史：中国 Assassin's Creed Chronicles: China","2","2022/04/11","美工不错 其他……","2015-04-22","https://www.douban.com/game/26366138/"
"梦界狂徒 Hypnospace Outlaw","5","2022/04/09","九九年互联网模拟器，关于网络黄金时代的挽歌。审查与自由检索的路数类似于don’t feed the monkeys、Orwell，再向上追溯则是papers，please——但比上述小体量游戏完善很多，几乎是一个完整的互联网宇宙。从美工到音乐都很复古很朋克，可玩性也相当强，就是英语密密麻麻很费眼睛。玩罢回到现实，我居然也开始怀念那个自己不曾经历过的肆意妄为的网络世界。","2019-03-12","https://www.douban.com/game/27202559/"
"都市：天际线 Cities: Skylines","4","2022/04/09","老少咸宜的规划游戏，用这个模拟真实城市的网友真的牛……","2015-03-11","https://www.douban.com/game/26324780/"
"模拟地铁 Mini Metro","5","2022/04/09","妙","2015-11-06","https://www.douban.com/game/26345554/"
"旅行青蛙 旅かえる","3","2022/04/09","其实一直没get到好玩在哪😢","2017-11-01","https://www.douban.com/game/27598901/"
"摩尔庄园","5","2022/04/09","童年佳作","2008-04-28","https://www.douban.com/game/11541002/"
"笼中窥梦 Moncage","4","2022/04/09","玩法新颖，美工不错的小清新游戏","2021-11-16","https://www.douban.com/game/34997500/"
"Sky光·遇 Sky: Children of the Light","3","2022/04/09","不是很符合我的口味","2019-07-18","https://www.douban.com/game/27139991/"
"烟火","4","2022/04/09","谢谢你让我在宿舍尖叫吓死所有舍友","2021-02-04","https://www.douban.com/game/35098364/"
"移形换位 Shift Happens","3","2022/04/09","高级版森林冰火人","2017-02-23","https://www.douban.com/game/27004878/"
"王权 Reigns","5","2022/04/09","","2016-08-10","https://www.douban.com/game/26860127/"
"璀璨宝石 Splendor","4","2022/04/03","我怎么赢：别人互卡我捡漏","2014-01-01","https://www.douban.com/game/26923385/"
"哈利波特：魔法觉醒","2","2022/04/03","hhh","2021-09-09","https://www.douban.com/game/35081456/"
"古墓丽影 Tomb Raider","4","2022/04/01","整体相当不错，就是找箱子使人强迫症发作。虽然用女性作为主角却处处暗含着潜在的男性审美，让我非常不适（即使我也很喜欢劳拉）。","2013-03-05","https://www.douban.com/game/21726040/"
"卡坦岛 Catan","3","2022/04/01","一桌人玩个乐呵。策略性不强。","2005-10-10","https://www.douban.com/game/10757298/"
"三国杀OL","4","2022/04/01","网游零分，线下满分。","2009-12-27","https://www.douban.com/game/26367507/"
"侠盗猎车手4 Grand Theft Auto IV","5","2022/04/01","","2008-04-29","https://www.douban.com/game/10749581/"
"奥伯拉丁的回归 Return of the Obra Dinn","5","2022/04/01","美术风格很喜欢，情节和叙事方法都极佳的推理游戏。","2018-10-18","https://www.douban.com/game/26434279/"
"画中世界 Gorogoa","5","2022/04/01","","2017-12-14","https://www.douban.com/game/25822935/"
"乌鸦的自白 A Raven Monologue","3","2022/04/01","流程很短的小清新游戏。","2018-01-12","https://www.douban.com/game/29971726/"
"地狱边境 Limbo","4","2022/04/01","经典横版过关","2010-07-21","https://www.douban.com/game/10739871/"
"弗洛伦斯 Florence","3","2022/04/01","恋爱游戏，手游里面算还好的（美工不错玩法还行，其他没什么亮点）。","2018-02-14","https://www.douban.com/game/27591214/"
"星际拓荒 Outer Wilds","5","2022/04/01","各方面极佳（虽然晕3D了…）","2019-05-29","https://www.douban.com/game/26362172/"
"风之寂静 The Stillness of the Wind","3","2022/04/01","生活，在自洽的寂静中。","2019-02-07","https://www.douban.com/game/30355291/"
"这里没有游戏：错误的维度 There Is No Game: Wrong Dimension","4","2022/04/01","满满meta元素","2020-08-07","https://www.douban.com/game/35172076/"
"锈湖：天堂岛 Rusty Lake Paradise","4","2022/04/01","可能是锈湖里叙事最简单的，而且重复来重复去有点疲劳","2018-01-11","https://www.douban.com/game/27591232/"
"方块逃脱合集 Cube Escape Collection","5","2022/04/01","怪诞不经又脑洞十足，几乎是最好的方块解谜","2020-10-14","https://www.douban.com/game/35224672/"
"锈湖：旅馆 Rusty Lake Hotel","4","2022/04/01","感觉是最简单的一款，但很讽刺很喜欢","2015-12-10","https://www.douban.com/game/26708988/"
"锈湖：根源 Rusty Lake: Roots","5","2022/04/01","剧情大介绍：最阴间的家族恩怨。","2016-10-20","https://www.douban.com/game/26898936/"
